,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Shannon Albuery,eng ENG,FWMF,Yeovil Town,,,7,3,322,3.6,0,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,0.7,0.7,0.1,0.8,0.21,0.02,0.22,0.21,0.22,Matches,52a3113d
2,Megan Alexander,eng ENG,DF,Yeovil Town,24,1993,20,20,1800,20.0,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,0.1,0.1,2.3,2.4,0.01,0.12,0.12,0.01,0.12,Matches,236bda8b
3,Flo Allen,eng ENG,DF,Bristol City,18,1999,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,05fae887
4,Remi Allen,eng ENG,MF,Reading,27,1990,19,19,1652,18.4,2,2,2,0,0,7,0,0.11,0.11,0.22,0.11,0.22,3.1,3.1,1.9,5.0,0.17,0.10,0.27,0.17,0.27,Matches,29bbd006
5,Jonna Andersson,se SWE,DF,Chelsea,25,1993,18,18,1504,16.7,0,2,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,3.4,4.2,0.05,0.20,0.25,0.05,0.25,Matches,5f50a940
6,Janni Arnth,dk DEN,DF,Arsenal,31,1986,6,3,256,2.8,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.5,0.5,0.0,0.5,0.16,0.02,0.18,0.16,0.18,Matches,e4e3c571
7,Chloe Arthur,sct SCO,MF,Birmingham City,23,1995,19,16,1426,15.8,1,2,1,0,0,0,0,0.06,0.13,0.19,0.06,0.19,1.0,1.0,0.9,1.9,0.06,0.06,0.12,0.06,0.12,Matches,e91e309c
8,Anita Asante,eng ENG,DF,Chelsea,33,1985,3,2,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3f052127
9,Rosella Ayane,ma MAR,FWMF,Bristol City,22,1996,15,8,795,8.8,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.0,1.0,0.6,1.6,0.12,0.07,0.18,0.12,0.18,Matches,41548209
10,Rinsola Babajide,eng ENG,MFFW,Liverpool,20,1998,17,10,1001,11.1,4,0,4,0,0,3,0,0.36,0.00,0.36,0.36,0.36,2.7,2.7,1.0,3.7,0.24,0.09,0.33,0.24,0.33,Matches,ca9f6f0a
11,Ramona Bachmann,ch SUI,FWMF,Chelsea,27,1990,16,12,1067,11.9,3,6,3,0,0,1,0,0.25,0.51,0.76,0.25,0.76,4.0,4.0,2.9,7.0,0.34,0.25,0.59,0.34,0.59,Matches,28392158
12,Sophie Baggaley,eng ENG,GK,Bristol City,21,1996,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,410be8c7
13,Jade Bailey,jm JAM,MFFW,Reading,22,1995,6,3,287,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.07,0.32,0.39,0.07,0.39,Matches,3829d6df
14,Jade Bailey,jm JAM,MF,Chelsea,22,1995,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.08,0.11,0.19,0.08,0.19,Matches,3829d6df
15,Paige Bailey-Gayle,jm JAM,FWMF,Arsenal,16,2001,3,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,ed407647
16,Karen Bardsley,eng ENG,GK,Manchester City,33,1984,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7c903a2d
17,Kirsty Barton,eng ENG,DF,Brighton,26,1992,15,15,1350,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.01,0.05,0.05,0.01,0.05,Matches,7c6d13ea
18,Molly Bartrip,eng ENG,DFMF,Reading,22,1996,14,7,756,8.4,0,2,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.2,0.2,0.7,1.0,0.03,0.09,0.12,0.02,0.11,Matches,a6f1d507
19,Jennifer Beattie,sct SCO,DF,Manchester City,27,1991,17,17,1530,17.0,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.4,1.4,0.9,2.3,0.08,0.05,0.13,0.08,0.13,Matches,bd8b51ce
20,Janine Beckie,ca CAN,FW,Manchester City,23,1994,10,2,290,3.2,1,2,1,0,0,1,0,0.31,0.62,0.93,0.31,0.93,1.0,1.0,1.2,2.2,0.31,0.37,0.68,0.31,0.68,Matches,43466fe0
21,Ann-Katrin Berger,de GER,GK,Chelsea,27,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,be9f3298
22,Ann-Katrin Berger,de GER,GK,Birmingham City,27,1990,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,be9f3298
23,Julie Biesmans,be BEL,MF,Bristol City,24,1994,20,20,1800,20.0,0,2,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,1.2,1.6,0.02,0.06,0.08,0.02,0.08,Matches,a022380f
24,Annabel Blanchard,eng ENG,FW,Liverpool,17,2001,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,80c6cc07
25,Erin Bloomfield,eng ENG,FWMF,Yeovil Town,,,9,5,447,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.03,0.03,0.06,0.03,0.06,Matches,6986f9dc
26,Hannah Blundell,eng ENG,DFFW,Chelsea,24,1994,17,13,1197,13.3,1,4,1,0,0,0,0,0.08,0.30,0.38,0.08,0.38,1.0,1.0,1.8,2.8,0.08,0.13,0.21,0.08,0.21,Matches,fe9eaddc
27,Missy Bo Kearns,eng ENG,MFFW,Liverpool,17,2001,3,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.19,0.00,0.19,0.19,0.19,Matches,a3ee3804
28,Gemma Bonner,eng ENG,DF,Manchester City,27,1991,17,14,1308,14.5,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.6,1.6,0.7,2.4,0.11,0.05,0.16,0.11,0.16,Matches,488a84df
29,Chantelle Boye-Hlorkah,eng ENG,FWDF,Everton,22,1995,17,9,948,10.5,3,0,3,0,0,0,0,0.28,0.00,0.28,0.28,0.28,2.3,2.3,1.0,3.3,0.21,0.10,0.31,0.21,0.31,Matches,c87eb969
30,Sophie Bradley,eng ENG,DF,Liverpool,28,1989,20,20,1800,20.0,0,2,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,1.7,2.2,0.02,0.09,0.11,0.02,0.11,Matches,947f1c75
31,Ellie Brazil,eng ENG,FWMF,Brighton,19,1999,19,14,1422,15.8,4,1,4,0,0,3,0,0.25,0.06,0.32,0.25,0.32,3.8,3.8,1.7,5.5,0.24,0.11,0.35,0.24,0.35,Matches,50000805
32,Pauline Bremer,de GER,FW,Manchester City,22,1996,4,1,120,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.5,1.2,0.49,0.42,0.91,0.49,0.91,Matches,ef20b0e8
33,Jodie Brett,eng ENG,MF,Brighton,22,1996,10,6,562,6.2,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,1.4,1.4,0.1,1.5,0.22,0.02,0.24,0.22,0.24,Matches,ea0b1de2
34,Millie Bright,eng ENG,DF,Chelsea,24,1993,16,16,1420,15.8,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,1.0,2.9,0.13,0.06,0.19,0.13,0.19,Matches,22fccf20
35,Georgia Brougham,eng ENG,DF,Everton,22,1996,17,15,1455,16.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.02,0.02,0.02,Matches,052a7107
36,Frankie Brown,sct SCO,DFMF,Bristol City,30,1987,20,20,1714,19.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,5613c4f9
37,Emma Brownlie,sct SCO,DFMF,Everton,24,1993,7,6,447,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03,Matches,3e2b46aa
38,Dominique Bruinenberg,nl NED,MF,Everton,25,1993,12,7,616,6.8,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.3,0.6,0.04,0.04,0.09,0.04,0.09,Matches,34fa4669
39,Lauren Bruton,eng ENG,FWMF,Reading,25,1992,17,15,1323,14.7,3,0,2,1,1,1,0,0.20,0.00,0.20,0.14,0.14,2.6,1.8,1.8,3.6,0.18,0.12,0.30,0.12,0.25,Matches,c630d3f5
40,Faye Bryson,eng ENG,DFMF,Everton,21,1997,8,6,534,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.04,0.06,0.01,0.06,Matches,0d10692c
41,Danielle Buet,eng ENG,MFDF,Brighton,29,1988,19,17,1557,17.3,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,0.8,0.8,1.7,2.5,0.04,0.10,0.14,0.04,0.14,Matches,ce9db81a
42,Leah Burridge,eng ENG,MF,Yeovil Town,,,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b018e71b
43,Charlotte Buxton,eng ENG,DF,Yeovil Town,,,10,7,536,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matches,866f324f
44,Hannah Cain,wls WAL,FWMF,Everton,19,1999,13,7,610,6.8,2,0,2,0,0,2,0,0.30,0.00,0.30,0.30,0.30,2.5,2.5,1.0,3.5,0.37,0.15,0.52,0.37,0.52,Matches,73b140ea
45,Megan Campbell,ie IRL,DF,Manchester City,25,1993,4,2,181,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches,621f756c
46,Karen Carney,eng ENG,FWMF,Chelsea,30,1987,14,12,985,10.9,1,4,1,0,1,2,0,0.09,0.37,0.46,0.09,0.46,2.2,1.4,5.1,6.5,0.20,0.47,0.66,0.13,0.59,Matches,06effb1f
47,Danielle Carter,eng ENG,FWMF,Arsenal,25,1993,6,0,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.18,0.05,0.23,0.18,0.23,Matches,5d6d3dbb
48,Jessica Carter,eng ENG,DFMF,Chelsea,20,1997,13,8,763,8.5,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches,bb5e99fc
49,Olivia Chance,nz NZL,MF,Everton,24,1993,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e9a94833
50,Brooke Chaplen,eng ENG,FWMF,Reading,29,1989,16,16,1378,15.3,7,2,7,0,0,0,0,0.46,0.13,0.59,0.46,0.59,8.6,8.6,0.8,9.4,0.56,0.05,0.62,0.56,0.62,Matches,a7600cca
51,Niamh Charles,eng ENG,FWMF,Liverpool,19,1999,9,7,578,6.4,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,2.7,2.7,0.9,3.6,0.42,0.14,0.56,0.42,0.56,Matches,cf19f181
52,Jessica Clarke,eng ENG,FWMF,Liverpool,29,1989,12,11,1017,11.3,2,2,2,0,0,0,0,0.18,0.18,0.35,0.18,0.35,2.8,2.8,1.9,4.7,0.24,0.17,0.41,0.24,0.41,Matches,a16b6619
53,Megan Connolly,ie IRL,MF,Brighton,21,1997,6,6,540,6.0,1,2,1,0,0,0,0,0.17,0.33,0.50,0.17,0.50,1.1,1.1,1.6,2.7,0.18,0.27,0.45,0.18,0.45,Matches,afed2d24
54,Laura Coombs,eng ENG,MF,Liverpool,27,1991,20,20,1793,19.9,0,4,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,1.4,1.4,3.7,5.1,0.07,0.19,0.26,0.07,0.26,Matches,dfe6be0f
55,Deanna Cooper,eng ENG,DF,Chelsea,25,1993,5,2,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.02,0.04,0.01,0.04,Matches,dffb640d
56,Nicola Cousins,wls WAL,DF,Yeovil Town,29,1988,18,13,1314,14.6,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.03,0.01,0.05,0.03,0.05,Matches,403a3bf8
57,Erin Cuthbert,sct SCO,FWMF,Chelsea,20,1998,19,17,1394,15.5,8,6,8,0,0,1,0,0.52,0.39,0.90,0.52,0.90,4.8,4.8,3.3,8.1,0.31,0.21,0.52,0.31,0.52,Matches,76a887a9
58,Yana Daniels,be BEL,MFFW,Liverpool,26,1992,15,9,715,7.9,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.5,0.5,0.8,1.4,0.07,0.10,0.17,0.07,0.17,Matches,b33b4a16
59,Gemma Davison,eng ENG,FWMF,Reading,31,1987,14,8,835,9.3,2,4,2,0,0,1,0,0.22,0.43,0.65,0.22,0.65,0.8,0.8,3.7,4.5,0.09,0.39,0.49,0.09,0.49,Matches,04629c12
60,Daniëlle van de Donk,nl NED,MFFW,Arsenal,26,1991,19,18,1588,17.6,11,6,10,1,1,3,0,0.62,0.34,0.96,0.57,0.91,7.4,6.6,3.1,9.7,0.42,0.17,0.59,0.38,0.55,Matches,6876815f
61,Emily Donovan,eng ENG,MFFW,Yeovil Town,,,18,8,820,9.1,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.4,0.9,0.06,0.04,0.10,0.06,0.10,Matches,7dc16db1
62,Loren Dykes,wls WAL,DF,Bristol City,30,1988,19,19,1710,19.0,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,0.8,0.9,0.01,0.04,0.05,0.01,0.05,Matches,67bb6983
63,Claire Emslie,sct SCO,FWMF,Manchester City,24,1994,14,7,647,7.2,4,3,4,0,0,0,0,0.56,0.42,0.97,0.56,0.97,2.2,2.2,3.8,6.0,0.30,0.53,0.83,0.30,0.83,Matches,f2284088
64,Bethany England,eng ENG,FW,Chelsea,24,1994,18,12,1077,12.0,12,1,12,0,0,0,0,1.00,0.08,1.09,1.00,1.09,9.2,9.2,1.4,10.6,0.77,0.12,0.88,0.77,0.88,Matches,ccb1bd8b
65,Adelina Engman,fi FIN,FWMF,Chelsea,23,1994,11,3,383,4.3,2,2,2,0,0,0,0,0.47,0.47,0.94,0.47,0.94,1.3,1.3,0.9,2.2,0.30,0.22,0.52,0.30,0.52,Matches,1cf9eca5
66,Magdalena Eriksson,se SWE,DF,Chelsea,24,1993,19,19,1710,19.0,2,1,2,0,0,3,0,0.11,0.05,0.16,0.11,0.16,2.7,2.7,0.5,3.1,0.14,0.02,0.16,0.14,0.16,Matches,bb454bb1
67,Charlie Estcourt,wls WAL,MFFW,Reading,20,1998,7,4,309,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.7,0.16,0.04,0.20,0.16,0.20,Matches,b0555042
68,Gemma Evans,wls WAL,DF,Bristol City,21,1996,19,17,1536,17.1,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.1,0.4,0.02,0.00,0.03,0.02,0.03,Matches,58e461be
69,Georgia Evans,wls WAL,MF,Yeovil Town,22,1995,19,16,1402,15.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.01,0.00,0.02,0.01,0.02,Matches,e1fced29
70,Lisa Evans,sct SCO,DFFW,Arsenal,26,1992,18,16,1412,15.7,1,2,1,0,0,0,0,0.06,0.13,0.19,0.06,0.19,1.0,1.0,1.6,2.6,0.06,0.10,0.17,0.06,0.17,Matches,755ef87c
71,Marisa Ewers,de GER,MF,Birmingham City,29,1989,8,8,597,6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.06,0.03,0.09,0.06,0.09,Matches,eac6835d
72,Niamh Fahey,ie IRL,MFDF,Liverpool,30,1987,17,14,1274,14.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,cb226c03
73,Millie Farrow,eng ENG,FW,Reading,22,1996,5,2,146,1.6,2,0,2,0,0,0,0,1.23,0.00,1.23,1.23,1.23,1.9,1.9,0.0,1.9,1.10,0.00,1.10,1.10,1.10,Matches,1f35609f
74,Olivia Fergusson,eng ENG,FW,Yeovil Town,23,1995,20,18,1653,18.4,1,1,1,0,0,0,0,0.05,0.05,0.11,0.05,0.11,3.1,3.1,1.1,4.3,0.17,0.06,0.23,0.17,0.23,Matches,3ce79f86
75,Melisa Filis,eng ENG,FW,Arsenal,16,2002,1,0,1,0.0,0,1,0,0,0,0,0,0.00,90.00,90.00,0.00,90.00,0.0,0.0,0.0,0.0,0.00,2.98,2.98,0.00,2.98,Matches,a07a7a88
76,Megan Finnigan,eng ENG,DFMF,Everton,20,1998,19,18,1654,18.4,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,1.1,1.1,0.4,1.5,0.06,0.02,0.08,0.06,0.08,Matches,7de2938e
77,Monique Fischer,ws SAM,MF,Yeovil Town,26,1991,4,2,157,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d15db99d
